mood_entity,happy,"joyful, cheerful, good mood"
mood_entity,sad,"down, upset, depressed"
mood_entity,bored,"uninterested, dull, nothing to do"
mood_entity,stressed,"tense, nervous, pressured"
mood_entity,angry,"mad, furious, irritated"
mood_entity,excited,"thrilled, pumped, energetic"
mood_entity,anxious,"worried, uneasy, scared"
mood_entity,calm,"relaxed, at ease, chill"
mood_entity,tired,"sleepy, drained, exhausted"
mood_entity,lonely,"alone, isolated, distant"
mood_entity,curious,"inquisitive, questioning, exploring"
mood_entity,motivated,"driven, eager, ambitious"
mood_entity,overwhelmed,"burned out, stressed out, swamped"
mood_entity,peaceful,"serene, relaxed, content"
mood_entity,nostalgic,"sentimental, reminiscent, reflective"
mood_entity,romantic,"in love, flirty, affectionate"
mood_entity,confused,"lost, unclear, puzzled"
mood_entity,hopeful,"optimistic, positive, confident"
mood_entity,inspired,"creative, enthusiastic, awakened"
mood_entity,lazy,"lazy, sluggish, idle"
